state,last_changed
687,2025-09-19T04:13:11.337Z
691,2025-09-19T04:13:13.299Z
688,2025-09-19T04:13:15.269Z
692,2025-09-19T04:13:17.235Z
691,2025-09-19T04:13:19.215Z
689,2025-09-19T04:13:21.173Z
688,2025-09-19T04:13:23.171Z
686,2025-09-19T04:13:33.190Z
685,2025-09-19T04:13:35.182Z
686,2025-09-19T04:13:37.133Z
681,2025-09-19T04:13:43.040Z
674,2025-09-19T04:13:44.998Z
673,2025-09-19T04:13:55.024Z
683,2025-09-19T04:13:56.998Z
686,2025-09-19T04:13:58.971Z
687,2025-09-19T04:14:00.927Z
690,2025-09-19T04:14:02.886Z
691,2025-09-19T04:14:04.873Z
698,2025-09-19T04:14:06.830Z
702,2025-09-19T04:14:22.619Z
712,2025-09-19T04:14:24.593Z
713,2025-09-19T04:14:26.569Z
716,2025-09-19T04:14:28.539Z
718,2025-09-19T04:14:42.919Z
725,2025-09-19T04:14:44.896Z
731,2025-09-19T04:14:46.871Z
742,2025-09-19T04:14:48.841Z
771,2025-09-19T04:14:56.882Z
784,2025-09-19T04:14:58.860Z
798,2025-09-19T04:15:00.817Z
811,2025-09-19T04:15:02.782Z
800,2025-09-19T04:15:04.778Z
805,2025-09-19T04:15:08.712Z
804,2025-09-19T04:15:10.687Z
805,2025-09-19T04:15:18.731Z
833,2025-09-19T04:15:20.701Z
839,2025-09-19T04:15:22.666Z
854,2025-09-19T04:15:24.638Z
867,2025-09-19T04:15:26.598Z
844,2025-09-19T04:15:28.576Z
845,2025-09-19T04:15:30.623Z
848,2025-09-19T04:15:40.594Z
870,2025-09-19T04:15:42.574Z
892,2025-09-19T04:15:44.537Z
905,2025-09-19T04:15:46.495Z
908,2025-09-19T04:15:48.459Z
909,2025-09-19T04:15:50.432Z
906,2025-09-19T04:15:52.406Z
910,2025-09-19T04:15:54.371Z
924,2025-09-19T04:16:02.424Z
934,2025-09-19T04:16:04.392Z
948,2025-09-19T04:16:06.355Z
957,2025-09-19T04:16:08.326Z
956,2025-09-19T04:16:10.287Z
969,2025-09-19T04:16:12.294Z
970,2025-09-19T04:16:14.270Z
971,2025-09-19T04:16:16.225Z
975,2025-09-19T04:16:24.270Z
985,2025-09-19T04:16:26.248Z
991,2025-09-19T04:16:28.217Z
998,2025-09-19T04:16:30.252Z
1004,2025-09-19T04:16:32.184Z
1003,2025-09-19T04:16:34.150Z
1006,2025-09-19T04:16:36.118Z
1016,2025-09-19T04:16:46.130Z
1021,2025-09-19T04:16:48.106Z
1028,2025-09-19T04:16:50.072Z
1049,2025-09-19T04:16:52.039Z
1059,2025-09-19T04:16:54.044Z
1065,2025-09-19T04:16:56.027Z
1066,2025-09-19T04:16:57.976Z
1062,2025-09-19T04:16:59.945Z
1066,2025-09-19T04:17:14.336Z
1080,2025-09-19T04:17:16.311Z
1096,2025-09-19T04:17:18.278Z
1105,2025-09-19T04:17:20.229Z
1114,2025-09-19T04:17:28.294Z
1113,2025-09-19T04:17:30.289Z
1135,2025-09-19T04:17:34.208Z
1141,2025-09-19T04:17:36.155Z
1146,2025-09-19T04:17:38.123Z
1147,2025-09-19T04:17:40.105Z
1129,2025-09-19T04:17:42.068Z
1132,2025-09-19T04:17:50.117Z
1144,2025-09-19T04:17:52.092Z
1150,2025-09-19T04:17:54.053Z
1155,2025-09-19T04:17:56.036Z
1157,2025-09-19T04:17:57.987Z
1151,2025-09-19T04:17:59.964Z
1146,2025-09-19T04:18:01.937Z
1147,2025-09-19T04:18:11.948Z
1150,2025-09-19T04:18:13.907Z
1153,2025-09-19T04:18:15.879Z
1156,2025-09-19T04:18:17.858Z
1155,2025-09-19T04:18:19.818Z
1147,2025-09-19T04:18:21.777Z
1180,2025-09-19T04:18:25.727Z
1182,2025-09-19T04:18:33.773Z
1183,2025-09-19T04:18:35.741Z
1184,2025-09-19T04:18:37.716Z
1165,2025-09-19T04:18:39.674Z
1168,2025-09-19T04:18:41.645Z
1169,2025-09-19T04:18:43.619Z
1167,2025-09-19T04:18:45.587Z
1152,2025-09-19T04:18:47.547Z
1171,2025-09-19T04:18:55.602Z
1168,2025-09-19T04:18:57.576Z
1169,2025-09-19T04:18:59.552Z
1166,2025-09-19T04:19:01.501Z
1139,2025-09-19T04:19:03.478Z
1143,2025-09-19T04:19:05.446Z
1144,2025-09-19T04:19:07.412Z
1140,2025-09-19T04:19:09.369Z
1148,2025-09-19T04:19:17.423Z
1146,2025-09-19T04:19:19.426Z
